Review #,Brand,Variety,Style,Country,Stars,Top Ten
2528.0,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5.0,
2527.0,Uni-President,Mushroom Flavor,Pack,Vietnam,0.0,
2526.0,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,
2525.0,Sokensha,Curry Udon,Pack,Japan,3.5,
2524.0,Nissin,Straits Reborn Laksa,Pack,Singapore,5.0,
2523.0,Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,
2522.0,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5.0,
2521.0,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,
2520.0,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5.0,
2519.0,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1.0,
2518.0,Samurai Ramen,Umami Ramen,Pack,Japan,4.0,
2517.0,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,
2516.0,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,
2515.0,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5.0,
2514.0,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,
2513.0,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,USA,3.5,
2512.0,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5.0,
2511.0,Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5.0,
2510.0,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5.0,
2509.0,Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5,
2508.0,Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,
2507.0,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4.0,
2506.0,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,
2505.0,Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,
2504.0,Nongshim,Shin Ramyun,Pack,South Korea,3.0,
2503.0,Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0.0,
2502.0,Indomie,Onion Chicken Flavor,Pack,Nigeria,1.5,
2501.0,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4.0,
2500.0,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5.0,
2499.0,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5.0,
2498.0,Nissin,Demae Ramen Spicy Beef,Pack,Germany,3.75,
2497.0,Nissin,Cup Noodles Spicy,Cup,Germany,3.75,
2496.0,Nissin,Soba Thai,Pack,Germany,4.5,
2495.0,Nissin,Cup Noodles Huhn (Chicken),Cup,Germany,3.75,
2494.0,Nissin,Demae Ramen Korean Kimchi,Pack,Germany,3.5,
2493.0,Nissin,Cup Noodles Curry,Cup,Germany,3.75,
2492.0,Nissin,Smack Chili,Pack,Hungary,3.75,
2491.0,Nissin,Soba Yakitori Chicken,Cup,Germany,5.0,
2490.0,Nissin,Demae Ramen Garlic Chicken,Pack,Germany,3.5,
2489.0,Nissin,Cup Noodles Ente (Duck),Cup,Germany,3.0,
2488.0,Nissin,Demae Ramen Thai Tom Yum,Pack,Germany,3.75,
2487.0,Nissin,Soba Sukiyaki Beef,Cup,Germany,4.5,
2486.0,Nissin,Demae Ramen Spicy,Pack,Germany,3.5,
2485.0,Nissin,Cup Noodles Shrimps,Cup,Germany,3.0,
2484.0,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4.0,
2483.0,Paldo,Bul Jjamppong,Bowl,South Korea,5.0,
2482.0,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,
2481.0,Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75,
,Acecook,Pork Wantan Men,Bowl,Japan,4.25,
2479.0,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4.0,
2478.0,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5.0,
2477.0,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5.0,
2476.0,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4.0,
2475.0,Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,
2474.0,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,
2473.0,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2.0,
2472.0,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,
2471.0,Nissin,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,5.0,
2470.0,Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,3.75,
2469.0,KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,3.5,
2468.0,Acecook,Dossari Yasai Chanpon,Cup,Japan,4.25,
2467.0,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,
2466.0,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4.0,
2465.0,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,
2464.0,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2.0,
2463.0,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,
2462.0,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5.0,
2461.0,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,
2460.0,Daifuku,Katsuo Bowl Udon,Bowl,USA,5.0,
2459.0,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,
2458.0,Samyang Foods,Sari Ramen,Pack,South Korea,,
2457.0,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,
2456.0,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,
2455.0,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5.0,
2454.0,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,
2453.0,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,
2452.0,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5.0,
2451.0,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5.0,
2450.0,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4.0,
2449.0,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5.0,
2448.0,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5,
2447.0,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3.0,
2446.0,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5.0,
2445.0,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,
2444.0,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5.0,
2443.0,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75,
2442.0,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5,
2441.0,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5.0,
2440.0,Master Kong,Roasted Pork Noodle,Pack,China,4.5,
2439.0,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5.0,
2438.0,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5.0,
2437.0,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,
2436.0,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,
2435.0,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,
2434.0,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,
2433.0,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,
2432.0,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,
2431.0,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,
2430.0,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5.0,
2429.0,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4.0,
2428.0,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5.0,
2427.0,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,
2426.0,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0.0,
2425.0,Nissin,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,5.0,
2424.0,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,
2423.0,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,
2422.0,Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,3.25,
2421.0,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5.0,
2420.0,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,
2419.0,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5.0,
2418.0,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,
2417.0,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,
2416.0,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,
2415.0,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5.0,
2414.0,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5.0,
2413.0,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5,
2412.0,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,
2411.0,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,
2410.0,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75,
2409.0,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,3.5,
2408.0,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75,
2407.0,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,
2406.0,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,
2405.0,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4.0,
2404.0,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5.0,
2403.0,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,
2402.0,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,
2401.0,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5.0,
2400.0,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5.0,
2399.0,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4.0,
2398.0,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1.0,
2397.0,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4.0,
2396.0,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25,
2395.0,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,
2394.0,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,
2393.0,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3.0,
2392.0,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5.0,
2391.0,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5.0,
2390.0,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75,
2389.0,Gefen,Imitation Chicken Flavor,Cup,USA,4.0,
2388.0,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,
2387.0,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,
2386.0,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4.0,
2385.0,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,
2384.0,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,
2383.0,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,3.5,
2382.0,Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5,
2381.0,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,
2380.0,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,
2379.0,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,2.5,
2378.0,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5,
2377.0,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5.0,
2376.0,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,
2375.0,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5.0,
2374.0,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,
2373.0,Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5,
2372.0,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4.0,
2371.0,Daikoku,Tanuki Soba,Cup,Japan,3.5,
2370.0,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,
2369.0,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,
2368.0,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,
2367.0,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4.0,
2366.0,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5.0,
2365.0,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5.0,
2364.0,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4.0,
2363.0,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4.0,
2362.0,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,4.0,
2361.0,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5.0,
2360.0,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,2.0,
2359.0,Daikoku,Kitsune Udon,Cup,Japan,2.0,
2358.0,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4.0,
2357.0,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,5.0,
2356.0,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4.0,
2355.0,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4.0,
2354.0,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5.0,
2353.0,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,4.0,
2352.0,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1.0,
2351.0,1 To 3 Noodles,Chatpat Masala,Pack,India,4.0,
2350.0,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,4.0,
2349.0,Fantastic,Noodles Chicken & Corn Flavour,Cup,Australia,3.0,
2348.0,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,Japan,3.0,
2347.0,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3.0,
2346.0,Knorr,Chatt Patta Instant Noodles,Pack,Pakistan,1.0,
2345.0,Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,5.0,
2344.0,Nissin,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,Mexico,4.0,
2343.0,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,Mexico,4.0,
2342.0,Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,Mexico,4.0,
2341.0,Nissin,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,Mexico,4.0,
2340.0,Nissin,RapiFideo Sabor A Tomate Y Pollo,Cup,Mexico,4.0,
2339.0,Nissin,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,Mexico,3.0,
2338.0,Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,Mexico,4.0,
2337.0,Nissin,Cup Noodles Sopa Nissin Con Camaron,Cup,Mexico,3.0,
2336.0,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,Mexico,3.0,
2335.0,Nissin,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,Mexico,5.0,
2334.0,Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,Mexico,4.0,
2333.0,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,Mexico,4.0,
2332.0,Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,Mexico,4.0,
2331.0,Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,Mexico,4.0,
2330.0,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4.0,
2329.0,Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,India,5.0,
2328.0,Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,3.0,
2327.0,Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,USA,4.0,
2326.0,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,4.0,
2325.0,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,4.0,
2324.0,Paldo,Bul Jjajangmyeon,Pack,South Korea,5.0,
2323.0,Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,5.0,
2322.0,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,3.0,
2321.0,Sau Tao,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,5.0,
2320.0,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4.0,
2319.0,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,3.5,
2318.0,Happy Cook,Sichuan Spicy Flavor,Pack,Taiwan,5.0,
2317.0,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,4.0,
2316.0,Nissin,Cup Noodle Spicy Curry Chicken,Cup,Japan,5.0,
2315.0,Goku-Uma,Ramen Noodles Miso Flavor,Bowl,USA,3.0,
2314.0,Nissin,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,4.0,
2313.0,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,3.5,
2312.0,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5.0,
2311.0,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,Taiwan,3.8,
2310.0,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,4.0,
2309.0,Nissin,Cup Noodles Big Seafood Flavour,Cup,Hong Kong,4.0,
2308.0,Fantastic,Noodles Chicken Chow Mein Flavour,Cup,Australia,4.0,
2307.0,Ottogi,Ramyun Sabor Pollo,Pack,Mexico,4.0,
2306.0,Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,Hong Kong,4.0,
2305.0,Ajinatori,Chicken Flavor Ramen,Pack,Japan,4.0,
2304.0,Maggi,2 Minute Noodles Masala Spicy,Pack,India,5.0,
2303.0,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,Mexico,3.0,
2302.0,Nissin,Yakisoba,Tray,Japan,5.0,
2301.0,Suimin,Noodle With Oriental Chicken Flavour,Cup,Australia,3.0,
2300.0,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,4.0,
2299.0,Cintan,Mi Segera Mmm... Original,Pack,Malaysia,3.0,
2298.0,Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,USA,4.0,
2297.0,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3.0,
2296.0,Suimin,Noodles With Chicken Flavour,Cup,Australia,3.0,
2295.0,Nissin,Cup Noodles Seafood,Cup,China,4.0,
2294.0,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,4.0,
2293.0,Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,Hong Kong,5.0,
2292.0,Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,China,5.0,
2291.0,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,4.0,
2290.0,Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5.0,
2289.0,Myojo,Shin Toyama Black Ramen,Bowl,Japan,4.0,
2288.0,Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,Hong Kong,4.0,
2287.0,Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0.0,
2286.0,Kamfen,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,Hong Kong,4.0,
2285.0,Fantastic,Noodles Beef Flavour,Cup,Australia,3.0,
2284.0,Nissin,Korean Kimchi Flavour Vermicelli,Cup,Hong Kong,4.0,
2283.0,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,5.0,
2282.0,Samyang Foods,Gold Jjamppong Fried Noodle,Pack,South Korea,5.0,
2281.0,Nissin,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,Hong Kong,4.0,
2280.0,Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,China,4.0,
2279.0,Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5.0,
2278.0,Nissin,Raoh Tantanmen,Pack,Japan,5.0,
2277.0,Goku-Uma,Ramen Noodles Soy Sauce Flavor,Bowl,USA,3.0,
2276.0,Nissin,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,USA,3.0,
2275.0,JML,Hot & Sour Beef Noodles,Pack,China,4.0,
